usindex,examiner_art_unit,uspc_class,rejection,allowance
8301690,3766,607,0.5146867152628593,0.48531328473714075
2311639,2878,250,0.48944829023770875,0.5105517097622913
4890599,3711,473,0.6060779101531202,0.3939220898468799
9179447,3619,705,0.8330816398981796,0.16691836010182037
5096964,2853,399,0.5451563244916195,0.4548436755083804
5186396,3733,623,0.47775359990055244,0.5222464000994476
2645960,1635,536,0.7152176715342833,0.28478232846571677
2462495,1633,424,0.7103925506532018,0.2896074493467981
1198759,1111,252,0.6882315908132808,0.3117684091867192
7298561,2868,324,0.2945912523044121,0.7054087476955879
6614756,3767,604,0.7242405422460505,0.2757594577539495
9345148,2644,455,0.40757444727927483,0.5924255527207252
10411679,2194,700,0.4587732894757005,0.5412267105242995
1973962,2856,073,0.4370517773374216,0.5629482226625784
2659479,3746,060,0.6357025353875809,0.364297464612419
8944606,2875,362,0.5415486987984375,0.45845130120156247
10300301,2471,370,0.275210583822712,0.724789416177288
2784630,2183,712,0.5474244137732367,0.45257558622676325
6416072,2676,358,0.36803268132444833,0.6319673186755517
5671400,1645,514,0.7407218736202859,0.2592781263797141
4751183,2624,382,0.5545437895747299,0.44545621042527006
2156044,1613,558,0.6927868228688403,0.3072131771311597
3900770,1756,430,0.6000866704184622,0.3999133295815378
389272,2202,178,0.4220654549803007,0.5779345450196993
495157,2605,324,0.5511696843971342,0.4488303156028658
6696192,2887,235,0.3793150574111701,0.6206849425888299
34067,3102,410,0.6749912902528918,0.3250087097471082
4442048,2811,257,0.6168023095090628,0.3831976904909372
7791127,2913,D06,0.01921734810914777,0.9807826518908522
9479689,3792,607,0.6444903131632442,0.3555096868367557
8758318,3791,600,0.67800910287985,0.32199089712015005
4434451,2856,073,0.4370517773374216,0.5629482226625784
5704461,2453,709,0.4816149902046204,0.5183850097953796
1285750,2903,D19,0.017233612135348242,0.9827663878646518
9423241,2875,362,0.5415486987984375,0.45845130120156247
6164579,3901,001,0.9999863193972852,1.3680602714772279e-05
1834189,3108,384,0.5721345993891569,0.42786540061084305
7380285,2128,703,0.5696261860781955,0.43037381392180446
6334268,1644,530,0.6905263923068605,0.3094736076931395
9335091,2698,348,0.4561513417425336,0.5438486582574664
9405103,2919,D14,0.04398776997481024,0.9560122300251898
5886792,1645,424,0.6654829378825737,0.33451706211742627
8387530,2844,315,0.39860363137293653,0.6013963686270635
4257958,2161,707,0.5834826363127972,0.4165173636872028
3125182,3732,606,0.5043974456154214,0.4956025543845786
3820316,2622,348,0.6232863327886724,0.3767136672113276
4066399,2911,D26,0.013782451694632991,0.986217548305367
10431530,2829,257,0.379490817262765,0.620509182737235
14345874,1506,430,0.5111424385671781,0.48885756143282183
7557505,3726,029,0.5033391861924388,0.4966608138075612
2623689,1733,156,0.5944004812361331,0.4055995187638669
15085829,3643,452,0.5316924405580503,0.46830755944194963
5402257,1789,426,0.7719662773213116,0.22803372267868835
10208211,3715,463,0.5577487750126611,0.4422512249873389
418077,1301,156,0.5536700783302622,0.4463299216697378
1841240,1655,536,0.6513358828991901,0.3486641171008099
3794973,3754,222,0.5709000355720653,0.42909996442793474
2570238,2774,345,0.44937564484777537,0.5506243551522246
1026136,1809,435,0.7457155997014812,0.25428440029851884
10542728,2648,331,0.3160234618539727,0.6839765381460273
6570715,2818,438,0.4141924895417969,0.5858075104582031
9305756,2917,D21,0.022525818084753846,0.9774741819152462
3358634,1647,435,0.6917918046491023,0.3082081953508977
