examiner_art_unit,uspc_class,rejection,allowance
3902,001,0.9999923680492433,7.631950756713613e-06
3765,002,0.6444603442258006,0.35553965577419944
3307,003,0.0482564765185316,0.9517435234814684
3105,004,0.7521709433449245,0.2478290566550755
3673,005,0.624373350285454,0.375626649714546
3303,006,0.3463135845915195,0.6536864154084805
3203,007,0.7206822643865985,0.27931773561340145
1761,008,0.5665508465483131,0.4334491534516869
3105,009,0.18385138916098942,0.8161486108390106
3204,010,0.28666358127676395,0.713336418723236
3202,011,0.19990815462504485,0.8000918453749551
2407,012,0.5497122491587865,0.4502877508412136
2103,013,0.07803734455656419,0.9219626554434358
3506,014,0.6345962923825776,0.3654037076174223
1744,015,0.6401748696687137,0.3598251303312863
3677,016,0.6312113668747472,0.36878863312525273
3204,017,0.07064694795308213,0.9293530520469179
1502,018,0.2998516945089389,0.7001483054910611
3765,019,0.5689007561634198,0.43109924383658016
3207,021,0.42103072556771803,0.578969274432282
1103,023,0.38660308411761524,0.6133969158823848
3626,024,0.6607707329559748,0.33922926704402523
2407,026,0.5742442635232703,0.42575573647672976
3677,027,0.6005744957466631,0.3994255042533369
3732,028,0.7194088744862764,0.28059112551372356
3726,029,0.5033727049222698,0.4966272950777301
3204,030,0.6343384948077035,0.3656615051922965
3303,032,0.06956297941926548,0.9304370205807345
2859,033,0.5731370368364506,0.4268629631635495
3743,034,0.6094078633998532,0.3905921366001468
3304,035,0.10624718031028457,0.8937528196897154
3765,036,0.55310344904754,0.44689655095245995
3671,037,0.5535362410258595,0.44646375897414053
3765,038,0.5239438972469939,0.47605610275300614
3636,040,0.8175436133800721,0.18245638661992794
3641,042,0.48881043944540203,0.511189560554598
3643,043,0.7737200147508357,0.2262799852491643
1771,044,0.6759014711399274,0.3240985288600726
1305,046,0.05946110092419754,0.9405388990758025
3644,047,0.6820282950470409,0.3179717049529591
1303,048,0.55260114569351,0.44739885430649
3634,049,0.5661867378955823,0.4338132621044178
1755,051,0.6375138916979697,0.36248610830203026
3633,052,0.5898813595820771,0.4101186404179229
3201,053,0.6413227493237124,0.35867725067628764
3643,054,0.7674792122246513,0.23252078777534865
1776,055,0.4416006051824084,0.5583993948175916
3671,056,0.5176206920436264,0.4823793079563737
3732,057,0.6999462369188902,0.3000537630811097
2104,058,0.16649776104339264,0.8335022389566074
3201,059,0.52974697588168,0.47025302411832
3741,060,0.49332277813604497,0.506677221863955
3501,061,0.1728896992322433,0.8271103007677567
3637,062,0.6603968222852915,0.3396031777147085
3677,063,0.7641086853336154,0.2358913146663846
3402,064,0.07128714843222717,0.9287128515677728
1303,065,0.5697776426431893,0.43022235735681075
2407,066,0.565371098811243,0.4346289011887569
1711,068,0.5542874037579539,0.445712596242046
3765,069,0.5624820234204138,0.4375179765795862
3676,070,0.6143736802943441,0.38562631970565586
1201,071,0.6308692798003717,0.36913072019962834
3201,072,0.5479367445039931,0.45206325549600695
2855,073,0.47650546900673807,0.5234945309932619
3682,074,0.629126273468397,0.370873726531603
1742,075,0.5734839408112754,0.4265160591887246
3724,076,0.5835005588758347,0.41649944112416526
3726,079,0.4768936204236748,0.5231063795763252
3723,081,0.656141503619,0.34385849638099997
3204,082,0.5121362247749797,0.48786377522502034
3724,083,0.6407966005317212,0.35920339946827884
2101,084,0.5580004078925909,0.4419995921074092
3501,085,0.10040204717972667,0.8995979528202733
2204,086,0.6151456071572394,0.38485439284276063
3741,087,0.5189306414720957,0.48106935852790433
3641,089,0.515354172614817,0.48464582738518297
3204,090,0.2060324833380084,0.7939675166619916
3401,091,0.5435010483019649,0.45649895169803506
3745,092,0.5512982877138406,0.44870171228615946
3204,093,0.07963323135279177,0.9203667686472082
1776,095,0.43992160726265017,0.5600783927373498
1776,096,0.4270707451433873,0.5729292548566127
3404,098,0.09385114161292396,0.906148858387076
3742,099,0.6064828324803604,0.39351716751963967
3731,100,0.5982476934866259,0.4017523065133742
3307,101,0.6929697145224752,0.30703028547752476
3641,102,0.5378765206007243,0.46212347939927567
3102,104,0.6145430074679173,0.38545699253208265
3617,105,0.4807960960919583,0.5192039039080417
1731,106,0.5505425331584684,0.4494574668415317
3637,108,0.6206028338212581,0.37939716617874186
3303,109,0.5327943176442809,0.46720568235571913
3743,110,0.6625166389301442,0.33748336106985577
3301,111,0.6545027810643813,0.34549721893561874
2407,112,0.5489271606685253,0.45107283933147463
3201,113,0.1389409834386488,0.8610590165613512
3617,114,0.602407346136842,0.39759265386315795
3105,115,0.27199659735318693,0.7280034026468131
3108,116,0.7315275698037773,0.26847243019622274
1765,117,0.4898903082309034,0.5101096917690966
1717,118,0.5193942114385466,0.4806057885614534
3303,119,0.6740636540037611,0.3259363459962389
3404,122,0.5718312668129566,0.42816873318704335
3747,123,0.5016162363845738,0.4983837636154262
3714,124,0.5978959077588486,0.40210409224115146
3203,125,0.6437244223747288,0.3562755776252712
3405,126,0.6240604526190594,0.37593954738094065
1302,127,0.4333739082866517,0.5666260917133483
3302,128,0.7188848988928089,0.281115101107191
3303,130,0.3132193587849872,0.6867806412150128
3302,131,0.7140631924687596,0.2859368075312404
3776,132,0.7008954921315766,0.29910450786842335
3101,133,0.18936621762592476,0.8106337823740752
1792,134,0.7157347157862005,0.2842652842137995
3504,135,0.6137968251007067,0.3862031748992934
1109,136,0.740557583417386,0.259442416582614
3753,137,0.5037574577738099,0.49624254222619013
3753,138,0.560811155006371,0.43918884499362904
3741,139,0.6738700879318136,0.32612991206818637
3725,140,0.542016291910119,0.457983708089881
3751,141,0.5978366624149198,0.4021633375850801
3722,142,0.7392431060410105,0.26075689395898954
3600,144,0.9997467840870425,0.0002532159129574405
3203,145,0.273299850357827,0.726700149642173
3725,147,0.6703318838643926,0.3296681161356075
1796,148,0.6424342641344853,0.3575657358655147
3641,149,0.5238069232294225,0.4761930767705775
3727,150,0.717356941248509,0.282643058751491
3501,151,0.19506574909676166,0.8049342509032383
1301,152,0.5364453897179231,0.46355461028207684
1733,156,0.5943802046211097,0.40561979537889026
3723,157,0.4732049945961395,0.5267950054038605
1305,159,0.5578829976187765,0.44211700238122353
3634,160,0.6716706491401757,0.3283293508598243
1604,161,0.5087193901362743,0.4912806098637257
1303,162,0.5763726599000718,0.42362734009992814
3206,163,0.4264726749260087,0.5735273250739913
1725,164,0.6332519773483701,0.36674802265162987
3763,165,0.6092911904985241,0.39070880950147596
3672,166,0.5603646287785808,0.4396353712214192
3303,168,0.6991707623158504,0.3008292376841496
3105,169,0.6668723774804708,0.33312762251952915
3671,171,0.5660468179994329,0.4339531820005671
3671,172,0.5182094347146163,0.48179056528538367
